Date : 2024-09-06 17:50:16
Directory : c:\xampp\htdocs\ReeyaEcommerce
Total : 363 files,  19432 codes, 12358 comments, 4295 blanks, all 36085 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Issuing\CardDetails.php                                             | PHP        |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Issuing\Cardholder.php                                              | PHP        |         10 |         25 |          5 |         40 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Issuing\Dispute.php                                                 | PHP        |         17 |         31 |          7 |         55 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Issuing\Transaction.php                                             | PHP        |          9 |         32 |          5 |         46 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\LineItem.php                                                        | PHP        |          6 |         17 |          4 |         27 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\LoginLink.php                                                       | PHP        |          6 |          6 |          4 |         16 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Mandate.php                                                         | PHP        |          7 |         16 |          5 |         28 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\OAuth.php                                                           | PHP        |         60 |         29 |         13 |        102 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\OAuthErrorObject.php                                                | PHP        |         13 |         16 |          3 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\PaymentIntent.php                                                   | PHP        |         65 |        111 |         20 |        196 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\PaymentLink.php                                                     | PHP        |         28 |         54 |         11 |         93 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\PaymentMethod.php                                                   | PHP        |         24 |         70 |          9 |        103 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Payout.php                                                          | PHP        |         51 |         51 |         14 |        116 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Person.php                                                          | PHP        |         47 |         63 |         15 |        125 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Plan.php                                                            | PHP        |         11 |         42 |          5 |         58 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Price.php                                                           | PHP        |         25 |         50 |         11 |         86 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Product.php                                                         | PHP        |         19 |         46 |          8 |         73 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\PromotionCode.php                                                   | PHP        |         10 |         20 |          5 |         35 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Quote.php                                                           | PHP        |         62 |         91 |         19 |        172 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Radar\EarlyFraudWarning.php                                         | PHP        |         15 |         18 |          6 |         39 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Radar\ValueList.php                                                 | PHP        |         11 |         20 |          5 |         36 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Radar\ValueListItem.php                                             | PHP        |         10 |         17 |          5 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\RecipientTransfer.php                                               | PHP        |          6 |         28 |          3 |         37 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Refund.php                                                          | PHP        |         29 |         36 |         10 |         75 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Reporting\ReportRun.php                                             | PHP        |          9 |         24 |          5 |         38 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Reporting\ReportType.php                                            | PHP        |          8 |         23 |          5 |         36 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\RequestTelemetry.php                                                | PHP        |         12 |         11 |          4 |         27 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Review.php                                                          | PHP        |         21 |         38 |          8 |         67 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\SearchResult.php                                                    | PHP        |        110 |         99 |         29 |        238 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\AbstractService.php                                         | PHP        |         58 |         32 |         16 |        106 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\AbstractServiceFactory.php                                  | PHP        |         29 |         30 |         11 |         70 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\AccountLinkService.php                                      | PHP        |          9 |         13 |          4 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\AccountService.php                                          | PHP        |         88 |        281 |         24 |        393 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\ApplePayDomainService.php                                   | PHP        |         21 |         43 |          7 |         71 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\ApplicationFeeService.php                                   | PHP        |         29 |         88 |          9 |        126 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Apps\AppsServiceFactory.php                                 | PHP        |         12 |          9 |          5 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Apps\SecretService.php                                      | PHP        |         21 |         41 |          7 |         69 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\BalanceService.php                                          | PHP        |          9 |         14 |          4 |         27 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\BalanceTransactionService.php                               | PHP        |         13 |         30 |          5 |         48 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\BillingPortal\BillingPortalServiceFactory.php               | PHP        |         13 |         10 |          5 |         28 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\BillingPortal\ConfigurationService.php                      | PHP        |         21 |         46 |          7 |         74 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\BillingPortal\SessionService.php                            | PHP        |          9 |         11 |          4 |         24 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\ChargeService.php                                           | PHP        |         29 |         85 |          9 |        123 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Checkout\CheckoutServiceFactory.php                         | PHP        |         12 |          9 |          5 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Checkout\SessionService.php                                 | PHP        |         25 |         60 |          8 |         93 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\CoreServiceFactory.php                                      | PHP        |         69 |         66 |          5 |        140 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\CountrySpecService.php                                      | PHP        |         13 |         22 |          5 |         40 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\CouponService.php                                           | PHP        |         25 |         72 |          8 |        105 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\CreditNoteService.php                                       | PHP        |         37 |        109 |         11 |        157 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\CustomerService.php                                         | PHP        |        117 |        345 |         31 |        493 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\DisputeService.php                                          | PHP        |         21 |         56 |          7 |         84 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\EphemeralKeyService.php                                     | PHP        |         16 |         22 |          6 |         44 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\EventService.php                                            | PHP        |         13 |         27 |          5 |         45 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\ExchangeRateService.php                                     | PHP        |         13 |         24 |          5 |         42 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\FileLinkService.php                                         | PHP        |         21 |         43 |          7 |         71 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\FileService.php                                             | PHP        |         22 |         37 |          8 |         67 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\FinancialConnections\AccountService.php                     | PHP        |         25 |         57 |          8 |         90 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\FinancialConnections\FinancialConnectionsServiceFactory.php | PHP        |         13 |         10 |          5 |         28 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\FinancialConnections\SessionService.php                     | PHP        |         13 |         24 |          5 |         42 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Identity\IdentityServiceFactory.php                         | PHP        |         13 |         10 |          5 |         28 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Identity\VerificationReportService.php                      | PHP        |         13 |         22 |          5 |         40 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Identity\VerificationSessionService.php                     | PHP        |         29 |        109 |          9 |        147 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\InvoiceItemService.php                                      | PHP        |         25 |         61 |          8 |         94 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\InvoiceService.php                                          | PHP        |         61 |        213 |         17 |        291 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Issuing\AuthorizationService.php                            | PHP        |         25 |         69 |          8 |        102 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Issuing\CardService.php                                     | PHP        |         21 |         46 |          7 |         74 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Issuing\CardholderService.php                               | PHP        |         21 |         47 |          7 |         75 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Issuing\DisputeService.php                                  | PHP        |         25 |         67 |          8 |        100 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Issuing\IssuingServiceFactory.php                           | PHP        |         16 |         13 |          5 |         34 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Issuing\TransactionService.php                              | PHP        |         17 |         37 |          6 |         60 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\MandateService.php                                          | PHP        |          9 |         12 |          4 |         25 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\OAuthService.php                                            | PHP        |         76 |         54 |         21 |        151 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\PaymentIntentService.php                                    | PHP        |         49 |        213 |         14 |        276 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\PaymentLinkService.php                                      | PHP        |         25 |         57 |          8 |         90 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\PaymentMethodService.php                                    | PHP        |         29 |         98 |          9 |        136 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\PayoutService.php                                           | PHP        |         29 |         90 |          9 |        128 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\PlanService.php                                             | PHP        |         25 |         59 |          8 |         92 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\PriceService.php                                            | PHP        |         25 |         60 |          8 |         93 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\ProductService.php                                          | PHP        |         29 |         75 |          9 |        113 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\PromotionCodeService.php                                    | PHP        |         21 |         48 |          7 |         76 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\QuoteService.php                                            | PHP        |         49 |        116 |         13 |        178 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Radar\EarlyFraudWarningService.php                          | PHP        |         13 |         26 |          5 |         44 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Radar\RadarServiceFactory.php                               | PHP        |         14 |         11 |          5 |         30 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Radar\ValueListItemService.php                              | PHP        |         21 |         47 |          7 |         75 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Radar\ValueListService.php                                  | PHP        |         25 |         61 |          8 |         94 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\RefundService.php                                           | PHP        |         25 |         63 |          8 |         96 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Reporting\ReportRunService.php                              | PHP        |         17 |         33 |          6 |         56 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Reporting\ReportTypeService.php                             | PHP        |         13 |         23 |          5 |         41 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Reporting\ReportingServiceFactory.php                       | PHP        |         13 |         10 |          5 |         28 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\ReviewService.php                                           | PHP        |         17 |         36 |          6 |         59 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\SetupAttemptService.php                                     | PHP        |          9 |         11 |          4 |         24 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\SetupIntentService.php                                      | PHP        |         33 |        101 |         10 |        144 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\ShippingRateService.php                                     | PHP        |         21 |         43 |          7 |         71 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Sigma\ScheduledQueryRunService.php                          | PHP        |         13 |         22 |          5 |         40 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Sigma\SigmaServiceFactory.php                               | PHP        |         12 |          9 |          5 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\SourceService.php                                           | PHP        |         29 |         75 |          9 |        113 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\SubscriptionItemService.php                                 | PHP        |         33 |        109 |         10 |        152 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\SubscriptionScheduleService.php                             | PHP        |         29 |         76 |          9 |        114 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\SubscriptionService.php                                     | PHP        |         37 |        129 |         11 |        177 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TaxCodeService.php                                          | PHP        |         13 |         24 |          5 |         42 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TaxRateService.php                                          | PHP        |         21 |         44 |          7 |         72 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Tax\CalculationService.php                                  | PHP        |         13 |         22 |          5 |         40 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Tax\TaxServiceFactory.php                                   | PHP        |         13 |         10 |          5 |         28 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Tax\TransactionService.php                                  | PHP        |         21 |         43 |          7 |         71 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Terminal\ConfigurationService.php                           | PHP        |         25 |         54 |          8 |         87 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Terminal\ConnectionTokenService.php                         | PHP        |          9 |         13 |          4 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Terminal\LocationService.php                                | PHP        |         25 |         57 |          8 |         90 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Terminal\ReaderService.php                                  | PHP        |         45 |        110 |         13 |        168 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Terminal\TerminalServiceFactory.php                         | PHP        |         15 |         12 |          5 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\CustomerService.php                             | PHP        |          9 |         12 |          4 |         25 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Issuing\CardService.php                         | PHP        |         21 |         49 |          7 |         77 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Issuing\IssuingServiceFactory.php               | PHP        |         12 |          9 |          5 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\RefundService.php                               | PHP        |          9 |         12 |          4 |         25 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Terminal\ReaderService.php                      | PHP        |          9 |         13 |          4 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Terminal\TerminalServiceFactory.php             | PHP        |         12 |          9 |          5 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\TestClockService.php                            | PHP        |         25 |         55 |          8 |         88 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\TestHelpersServiceFactory.php                   | PHP        |         17 |         14 |          5 |         36 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Treasury\InboundTransferService.php             | PHP        |         17 |         40 |          6 |         63 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Treasury\OutboundPaymentService.php             | PHP        |         17 |         40 |          6 |         63 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Treasury\OutboundTransferService.php            | PHP        |         17 |         40 |          6 |         63 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Treasury\ReceivedCreditService.php              | PHP        |          9 |         13 |          4 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Treasury\ReceivedDebitService.php               | PHP        |          9 |         13 |          4 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TestHelpers\Treasury\TreasuryServiceFactory.php             | PHP        |         16 |         13 |          5 |         34 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TokenService.php                                            | PHP        |         13 |         25 |          5 |         43 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TopupService.php                                            | PHP        |         25 |         57 |          8 |         90 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\TransferService.php                                         | PHP        |         37 |        114 |         11 |        162 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\CreditReversalService.php                          | PHP        |         17 |         34 |          6 |         57 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\DebitReversalService.php                           | PHP        |         17 |         32 |          6 |         55 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\FinancialAccountService.php                        | PHP        |         29 |         66 |          9 |        104 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\InboundTransferService.php                         | PHP        |         21 |         43 |          7 |         71 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\OutboundPaymentService.php                         | PHP        |         21 |         45 |          7 |         73 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\OutboundTransferService.php                        | PHP        |         21 |         45 |          7 |         73 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\ReceivedCreditService.php                          | PHP        |         13 |         23 |          5 |         41 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\ReceivedDebitService.php                           | PHP        |         13 |         23 |          5 |         41 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\TransactionEntryService.php                        | PHP        |         13 |         22 |          5 |         40 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\TransactionService.php                             | PHP        |         13 |         22 |          5 |         40 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\Treasury\TreasuryServiceFactory.php                         | PHP        |         21 |         18 |          5 |         44 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Service\WebhookEndpointService.php                                  | PHP        |         25 |         65 |          8 |         98 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\SetupAttempt.php                                                    | PHP        |          7 |         23 |          5 |         35 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\SetupIntent.php                                                     | PHP        |         37 |         86 |         12 |        135 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\ShippingRate.php                                                    | PHP        |         14 |         21 |          7 |         42 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Sigma\ScheduledQueryRun.php                                         | PHP        |         12 |         20 |          6 |         38 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\SingletonApiResource.php                                            | PHP        |         14 |         12 |          6 |         32 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Source.php                                                          | PHP        |         59 |         81 |         20 |        160 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\SourceTransaction.php                                               | PHP        |          6 |         12 |          3 |         21 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Stripe.php                                                          | PHP        |        125 |        110 |         44 |        279 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\StripeClient.php                                                    | PHP        |         17 |         66 |          7 |         90 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\StripeClientInterface.php                                           | PHP        |          6 |         13 |          3 |         22 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\StripeObject.php                                                    | PHP        |        330 |        216 |         64 |        610 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\StripeStreamingClientInterface.php                                  | PHP        |          6 |          3 |          3 |         12 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Subscription.php                                                    | PHP        |         65 |         84 |         19 |        168 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\SubscriptionItem.php                                                | PHP        |         22 |         34 |          9 |         65 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\SubscriptionSchedule.php                                            | PHP        |         24 |         44 |          9 |         77 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\TaxCode.php                                                         | PHP        |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\TaxId.php                                                           | PHP        |         86 |         28 |         12 |        126 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\TaxRate.php                                                         | PHP        |         20 |         27 |          6 |         53 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Tax\Calculation.php                                                 | PHP        |         15 |         31 |          7 |         53 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Tax\CalculationLineItem.php                                         | PHP        |          8 |         14 |          5 |         27 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Tax\Transaction.php                                                 | PHP        |         33 |         48 |         12 |         93 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Tax\TransactionLineItem.php                                         | PHP        |         10 |         15 |          6 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Terminal\Configuration.php                                          | PHP        |         11 |         13 |          5 |         29 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Terminal\ConnectionToken.php                                        | PHP        |          7 |         11 |          5 |         23 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Terminal\Location.php                                               | PHP        |         11 |         15 |          5 |         31 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Terminal\Reader.php                                                 | PHP        |         46 |         61 |         15 |        122 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\TestHelpers\TestClock.php                                           | PHP        |         20 |         26 |          8 |         54 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Token.php                                                           | PHP        |         12 |         40 |          6 |         58 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Topup.php                                                           | PHP        |         22 |         34 |          8 |         64 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Transfer.php                                                        | PHP        |         31 |         71 |         11 |        113 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\TransferReversal.php                                                | PHP        |         31 |         40 |          9 |         80 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\CreditReversal.php                                         | PHP        |         14 |         22 |          7 |         43 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\DebitReversal.php                                          | PHP        |         14 |         23 |          7 |         44 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\FinancialAccount.php                                       | PHP        |         27 |         39 |         10 |         76 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\FinancialAccountFeatures.php                               | PHP        |          6 |         15 |          4 |         25 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\InboundTransfer.php                                        | PHP        |         20 |         38 |          8 |         66 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\OutboundPayment.php                                        | PHP        |         21 |         41 |          8 |         70 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\OutboundTransfer.php                                       | PHP        |         21 |         41 |          8 |         70 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\ReceivedCredit.php                                         | PHP        |         17 |         24 |          8 |         49 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\ReceivedDebit.php                                          | PHP        |         17 |         23 |          8 |         48 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\Transaction.php                                            | PHP        |         20 |         22 |          7 |         49 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Treasury\TransactionEntry.php                                       | PHP        |         37 |         19 |          7 |         63 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\UsageRecord.php                                                     | PHP        |          6 |         16 |          4 |         26 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\UsageRecordSummary.php                                              | PHP        |          6 |         10 |          4 |         20 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\ApiVersion.php                                                 | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\CaseInsensitiveArray.php                                       | PHP        |         55 |         28 |         14 |         97 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\DefaultLogger.php                                              | PHP        |         18 |          6 |          6 |         30 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\LoggerInterface.php                                            | PHP        |          6 |         26 |          3 |         35 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\ObjectTypes.php                                                | PHP        |        115 |          4 |          4 |        123 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\RandomGenerator.php                                            | PHP        |         16 |         16 |          5 |         37 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\RequestOptions.php                                             | PHP        |        111 |         37 |         26 |        174 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\Set.php                                                        | PHP        |         36 |          3 |         10 |         49 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Util\Util.php                                                       | PHP        |        158 |         71 |         37 |        266 |
| c:\xampp\htdocs\ReeyaEcommerce\stripe-php\lib\Webhook.php                                                         | PHP        |         18 |         18 |          7 |         43 |
